content	person
NYMEX原油期货20日收盘走高[世华财讯]受空头回补的推动，NYMEX原油期货20日收盘走高。NYMEX6月轻质低硫原油期货合约结算价上涨1.1%，至每桶99.49美元。综合媒体5月20日报道，纽约商业交易所(NYMEX)原油期货20日收盘走高，因在消息称盖达组织2010年曾图谋劫持或击沉油轮后，油价获空头回补。NYMEX6月轻质低硫原油期货合约结算价上涨1.05美元，至每桶99.49美元，涨幅1.1%；该品种合约20日到期。美国官员援引从奥萨玛本拉登巴基斯坦驻地收集到的情报称，盖达组织的目的是要刺激油价大涨并触发西方经济危机。但官员补充称，没有迹象显示正在策划任何特定或很快有恐怖袭击。油价盘中走势振荡，最低曾跌至每桶95.99美元，因美元走强以及在6月合约收盘到期前的结清仓位，但午盘时走势逆转，最高触及每桶99.89美元。一些分析师表示，20日价格大幅波动可能是因6月合约流动性不足以及技术面压力。根据美国石油协会(API)的月度供需报告，美国4月原油及成品油总需求较上年同期跳升5.2%至每日1,988.6万桶。交易员们亦相信长期原油需求处于上升趋势，因美国进入夏季驾车出行季，且中国等新兴市场的燃料需求增加。Purvin&Gertz分析师表示，交易员们把19日油价的下滑看成是一个买进的机会，因为地缘政治风险目前暂时还得不到有效的解决办法，或将不会看到剧烈的下跌。NYMEX6月RBOB汽油期货结算价上涨0.98美分，至每加仑2.9358美元，涨幅0.3%；6月取暖油期货结算价上涨2.36美分，至每加仑2.9183美元，涨幅0.8%。ICE7月交割的北海布伦特原油期货价格上涨97美分，报收于每桶112.39美元，涨幅为0.9%。(师卫娟编辑)	奥萨玛本拉登
陈水扁机要费案今日再审要求吴淑珍须出庭应讯中新网9月19日电据台湾《联合报》报道，台北地方法院今天开庭审理“国务机要费”案，陈水扁妻子吴淑珍日前递送陈明状，表示因身体不佳无法到庭，但遭合议庭驳回；合议庭并指示台大医院搬运病床、急救设施及药品到第八法庭，医师及护士今天到庭待命，显现今天非要吴淑珍到庭不可的决心。吴淑珍十六日委任律师向法院递状，表示她“几近每天昏厥一至二次”，无法出庭；但合议庭以她未附诊断证明，且台大医院已配合法院做好医疗准备，吴淑珍出庭不致有立即的生命危险，驳回她的声请。陈水扁办公室昨天发布新闻稿，否认吴淑珍曾提出请假要求，表示是向法院提出刑事“陈明状”，恳请法院偕同台大专业医疗人员了解吴淑珍是否适合出庭。至于外传陈水扁可能以“辅佐人”身分陪同吴淑珍出庭；亲扁人士透露，扁、珍的身分同属被告，陈水扁“不适宜、也没必要”担任吴淑珍的辅佐人。扁办虽否认吴淑珍向法院“请假”，但台北地院行政庭长黄俊明说，被告递状是否属于请假，要看内容而定；吴淑珍陈明状有请假的意思。法界人士认为，扁办否认吴淑珍请假，辩称只是递“刑事陈明状”，但明眼人一看内容，就是在请假，扁办何必玩文字游戏。吴淑珍委任律师李胜雄、廖学兴十六日下午向法院递交陈明状指出，吴淑珍六月底骨折，必须支撑抬高；上个月又感冒，迄今未愈，最近一周几乎每天昏厥一至二次。台北地院指出，合议庭决定每开庭半小时就休息十分钟，若有必要，吴淑珍可以躺在法庭准备的病床上应讯，而且有台大医院医疗设备及专业医护人员在法庭内待命，吴淑珍必须到庭应讯。另据报道，为顺利传讯吴淑珍，台大医院应法院要求，指派医护人员及急救相关设备进驻。不过，遭指派到庭待命的医护都避之唯恐不及。据了解，台大急诊部最后只能经由协调，由一名医师和一名护理人员今天到台北地院待命，对吴淑珍可能的状况，急诊部已沙盘推演。陈水扁办公室称吴淑珍并未提出请假要求机要费案将再开庭陈水扁称吴淑珍近日昏倒两次	陈水扁,李胜雄,吴淑珍,廖学兴,黄俊明
金属超薄广角卡片机佳能IXUS120促销宜宾IT网（www.yb3c.com）数码影像频道2009年9月22日：今天我们从宜宾市场了解到，佳能8月发售的IXUS120IS近期到货宜宾了，它依旧保持了IXUS系列纤薄外观设计，并增添了28mm广角，目前市场最新报价为1980元，促销送4G存储卡，近期购买卡片机的朋友不妨一起来关注一下。佳能IXUS120IS采用纤薄的不锈钢机身，整体设计简约而时尚，并拥有冷艳银、深邃黑、宁静蓝、华丽棕四种充满都市情绪的炫酷色彩供消费者选择。整机尺寸89.5×54.9×20mm，重约120g。配置方面，佳能IXUS120IS采用了1210万有效像素1/2.3英寸CCD，4倍光学镜头，可拍摄4000x3000分辨率图片。镜头焦距相当于35mm照相机的28-112mm，最大光圈F2.8-5.9，最高ISO感光度为1600，同时搭配DIGIC4影像处理器，并支持IS光学防抖，背部则搭配一块2.7英寸23万色晶炫II代液晶屏。功能方面，佳能IXUS120IS支持22个细节场景的自动检测和22种场景类型的彩色图标显示，支持H.264格式压缩的720P高清视频拍摄，视频文件格式为MOV，并为用户提供了HDMI输出接口。其它方面，佳能IXUS120IS支持SD/SDHC/MMC/MMCplus/HCMMCplus存储扩展，供电采用专用锂电池NB-4L。[编辑观点]：这款IXUS120IS外观轻薄时尚，性能方面支持28mm广角，让相机在拍摄大场景时更加得心应手。感兴趣的朋友不妨到经销商处亲自看看，购买时提到宜宾IT网（www.yb3c.com）会有更好价格和服务。	
恒指回落200点可留意牛63275熊63750新浪财经讯5月12日消息，恒指跟随外围股市下跌，早段跌幅近200点，指数回落至23,100点边缘，暂报23,112点，跌幅约180点。技术上，恒指从3月17日低位22,123点左右反弹，4月8日更创今年高位约24,468点后作出调整，上周五一度跌穿23,000点的心理关口，虽然指数周一反弹，但依然受制于50天平均线约23,450点，现时初步的支持22,123点，阻力则约为23,450点及裂口区域底部23,827点。看好恒指的投资者，可留意进取牛证63275，收回价22,522点，行使价22,322点，10月到期，或收回价较远的牛证63395，收回价22,222点，行使价22,022点，10月到期。看淡可留意熊证63796，收回价24,422点，行使价24,622点，7月到期。恒指牛熊证选择：恒指牛证63544/收回价22,922点/行使价22,722点/11月到期恒指牛证63362/收回价22,622点/行使价22,422点/11月到期恒指牛证63275/收回价22,522点/行使价22,322点/10月到期恒指牛证63395/收回价22,222点/行使价22,022点/10月到期恒指牛证66380/收回价22,022点/行使价21,822点/6月到期恒指熊证63750/收回价24,322点/行使价24,522点/11月到期恒指熊证63796/收回价24,422点/行使价24,622点/7月到期恒指熊证63558/收回价24,622点/行使价24,822点/11月到期欢迎发表评论我要评论	
大唐潼金半年亏损扩至3842万元不派息新浪财经讯10月30日消息，大唐潼金公布，截至2009年9月底止中期业绩，股东应占亏损3,842万元，每股亏损1.48仙，不派息，期内营业额下跌62.74%至4,017万元。该公司08年同期录得亏损579万元。已有_COUNT_条评论我要评论	
世界10大豪宅PK中国10大豪宅(组图)(7)第四名：拜恩古堡拜恩古堡位于罗马尼亚特兰西瓦尼亚古城布拉索夫的南郊，1212年由罗马尼亚王子VladtheImpale修建，占地20亩，拥有17间卧室，能够俯瞰山坡和乡间的各样美景。目前的所有者DominicvonHapsburg像经营一个博物馆一样来经营它。古堡建于1212年，1920年至1948年初，哈布斯堡王室的玛丽王后居住於此。共产党接掌罗马尼亚政权後，在1948年将玛丽王后和其家属驱逐，多明尼克原本和他祖母玛丽王后住在古堡内，也随著祖母流亡国外，最後定居美国。古堡因为和十五世纪吸血僵尸德古拉伯爵的传说扯上关系，而大受游客欢迎，一直是著名的观光地点，为罗马尼亚政府赚到不少旅游收益。	DominicvonHapsburg,多明尼克,玛丽王后,德古拉伯爵
日政府考虑上调收入税企业税支持重建[世华财讯]消息人士表示，日本政府正考虑在未来5至10年上调收入税及企业税税率方案，开源节流进行融资支持重建受重创的东北部地震灾区。综合媒体8月16日报道，消息人士表示，日本政府正考虑考虑提高收入所得税和企业税的税率，以筹集资金用于地震和海啸灾后东北地区的重建。消息人士称，政府正对于上调收入所得税的两个方案进行考虑，一个是在未来10年将收入所得税上调5%，另一个是在未来5年将收入税上调10%。两个方案均会产生大约7万亿日圆，折合913亿美元的财政收入。2010年年底时，日本首相菅直人表示，从2011财年起(始于4月1日)将日本40%的企业税下调5%，以促进出口、提振国内疲软的经济。这样的减税将会令日本的税收每年减少1.4至2.1万亿日圆，相当于2010财年财政收入的4%至5%。但因受到强震及海啸影响，造成巨大的财政缺口，日本政府正在考虑将上述企业税减税计划进行推迟，日本总债务水平占其GDP比重已超200%，此举可以避免通过大规模新发国债来筹集灾后重建资金，与此同时，日本政府还在考虑增加企业税，在未来5年产生大约4万亿日圆的财政收入，以支持重建工作。7月5日，日本政府批准了2万亿日元的追加预算，用于东北部地震灾区的重建，具体包括对受灾民众进一步提供经济援助、给予地方政府财政补贴，同时留出8000亿日元资金用于日后重建工作，并准备发行新债务及出售国有资产等措施进行进一步融资。日本政府预计要以用10年时间，耗资23万亿日圆来重建遭311超级大地震肆虐的地区。目前只有6万亿日圆已在第1次与第2次的追加预算案中获得通过，意味在头5年的重建工作中，还需筹措13万亿日圆。(牛??编译)	菅直人,牛??
i5芯HD5650独显宏�4745G售5600元5000元—6000元是如今消费者选购笔记本最主流的价格区间，而在此价格区间中最具有性价比的莫过于宏?在第一季度推出的Aspire4745G。尽管其拥有的钢琴烤漆外观比较容易沾染指纹，不过搭配的i5-430M处理器，HD5650独显以及320GB硬盘后的价格仅为5600元，着实让我们看到了其超高的性价比。宏?4745G采用铝镁合金打造，同时作为亮点之一的超薄机身设计也得到了传承，此外，搭配灰黑色的条纹显得十分时尚硬朗，屏幕采用主流的14英寸16:9比例宽屏，分辨率1366×768，内置网络摄像头，内饰方面，铝镁合金材质加入拉丝工艺，触感舒适，键盘采用的是悬浮式设计，触摸板支持多点触控。编辑点评：	
i5芯双显卡IdeaPadY460游戏本5750元作者：赵虎【北京行情】IdeaPadY460(参数图片文章论坛)系列笔记本是联想今年在高性能独显笔记本市场的重拳产品。整机延续了IdeaPadY450系列时尚Handbag外观造型。今天介绍的这款联想IdeaPadY460A-IFI(H)(灰)笔记本搭载的全新英特尔酷睿i5-450M处理器、ATIMobilityRadeonHD5650独立显卡，完全可以胜任复杂图形图像处理以及大型3D游戏；该机还支持双显卡切换技术，用户可以根据应用的需要随时切换到英特尔GMAHD集成显卡，延长电池的使用时间。它搭配的14.0英寸LED背光炫彩屏、JBL专业高品质音响，更能为用户带来非凡的高清影音体验。目前，经销商的最新报价为5750元，偏爱高性能本的朋友不妨多多关注一下。外观方面，联想IdeaPadY460A-IFI(H)(灰)笔记本整体采用时尚Handbag造型。从城市印象中衍生的六棱形图案错落于黑色顶盖之上，一道闪亮的橙色勾勒出笔记本精致的外观轮廓，尽显时尚风韵。打开屏幕，掌托以及键盘部分使用的是金属灰色，沉稳而淡定；该机键盘上方配备的JBL专业品牌音响，无论是看大片、玩游戏还是听音乐，高昂、淳美和低沉的声音通过的杜比环绕音效合成，都能为消费者带来出众的体验。键盘上方配有全新的联想SlideBar桌面导航条，配合相应的软件，在指尖轻触间就能轻松调用程序、更换桌面背景、自由切换桌面空间，新潮而又实用。促销信息：加69元，赠送原装包鼠一套编辑点评：联想IdeaPadY460A-IFI(H)(灰)笔记本时尚的外观、强劲的配置。酷睿i5处理器和ATIMobilityRadeonHD5650独立显卡能够为用户带来强大的性能。不过，炎炎夏日，高性能配件的发热问题也值得消费者重视，喜爱游戏的学生用户最好在选购的同时购买一款出色的散热底座，帮助本本免受高温酷暑的侵袭。[联系方式]010-82662279	赵虎
英国三名蒙面歹徒抢劫一家珠宝店中新社伦敦八月二十五日电(记者魏群)三名蒙面歹徒今天抢劫了英国牛津郡的一家珠宝店，抢走价值十五万英镑的名表。这是继本月伦敦相继发生四千万珠宝大劫案，及摩托车“飞贼”三十九秒内抢劫一家珠宝店后，英国发生的又一起珠宝劫案。经营珠宝店看来已经成为英国的“高危行业”。据当地警方透露，三名带着手枪和斧头的蒙面男人，今天下午闯入牛津郡班伯里商业街上一家名为“迈克尔·琼斯”的珠宝店，用随身携带的武器，威胁一男三女四名店员，抢走劳力士、卡地亚和百年灵等名贵手表。另一名开着奥迪车的同伙在店外等候，抢劫得手后他们驾车逃走。二十五分钟后，这辆汽车被发现遗弃在班伯里的一条公路上。店员告诉警方说，这几名蒙面劫匪看起来像亚洲人。负责调查此案的警官对《每日电讯报》记者说，好在没有人在抢劫中受伤，不过店员看起来受到极大惊吓。对于英国近期频发珠宝店抢劫案，一些民众对记者表示，歹徒连连得手，警方却无法破案，显示警方办案能力低下，更助长了歹徒仿效。也有人将劫案频发归咎于经济低迷，一些人为求一夜暴富而铤而走险。中新社伦敦八月二十五日电(记者魏群)三名蒙面歹徒今天抢劫了英国牛津郡的一家珠宝店，抢走价值十五万英镑的名表。这是继本月伦敦相继发生四千万珠宝大劫案，及摩托车“飞贼”三十九秒内抢劫一家珠宝店后，英国发生的又一起珠宝劫案。经营珠宝店看来已经成为英国的“高危行业”。据当地警方透露，三名带着手枪和斧头的蒙面男人，今天下午闯入牛津郡班伯里商业街上一家名为“迈克尔·琼斯”的珠宝店，用随身携带的武器，威胁一男三女四名店员，抢走劳力士、卡地亚和百年灵等名贵手表。另一名开着奥迪车的同伙在店外等候，抢劫得手后他们驾车逃走。二十五分钟后，这辆汽车被发现遗弃在班伯里的一条公路上。店员告诉警方说，这几名蒙面劫匪看起来像亚洲人。负责调查此案的警官对《每日电讯报》记者说，好在没有人在抢劫中受伤，不过店员看起来受到极大惊吓。对于英国近期频发珠宝店抢劫案，一些民众对记者表示，歹徒连连得手，警方却无法破案，显示警方办案能力低下，更助长了歹徒仿效。也有人将劫案频发归咎于经济低迷，一些人为求一夜暴富而铤而走险。	迈克尔·琼斯,魏群
《极速赛车手》专为儿童拍摄周日全面公映(图)本报讯8月10日，《极速赛车手》将在内地影院全面上映，这是奥运会期间首部上映的好莱坞大片。该片是继《黑客帝国()》系列后，沃卓斯基兄弟的首部导演作品，中国演员余男(blog)和韩国偶像Rain(听歌)参与。另外，IMAX巨幕版本也将同时上映。故事小学生都能看懂自2003年《黑客帝国》系列结束后，沃卓斯基兄弟休息了整整3年，这期间只监制了一部《V字仇杀队》。《极速赛车手》是专门拍给少年儿童看的电影，所以在这部电影中你看不到复杂的故事和哲学思考，只剩下如万花筒一般绚烂的色彩和小学生都能看懂的故事。为了表达两兄弟对日本动漫大师吉田龙夫原作的怀念，全片大量采用绿幕拍摄，背景甚至模拟成了二维动画。赛车“马赫5号”空中换胎《极速赛车手》中的赛车“马赫5号”尽显威力，在片中大玩超越、漂移、翻转、碰撞等动作，还具有空中换胎、发射子弹等功能。导演还借助近1000个电脑特效镜头，将“马赫5号”和它的竞争对手放到沙漠、雪山等地比赛。演员余男与Rain扮姐弟为迎合亚洲市场，出品方华纳兄弟邀请中国演员余男、韩国偶像Rain、日本明星真田广之参演，其中余男和Rain在片中扮演姐弟。	沃卓斯基,余男,Rain,吉田龙夫
军旗下的白衣天使--中国军医大学报考指南作者：刘超本文选自《招生考试通讯杂志》博客2008年5月12日，四川汶川县发生了里氏8.0级大地震，就在这一瞬间，天昏地暗，山崩地裂，房屋垮塌，满目凄凉，中国人民遭受了巨大的苦难。地震无情人有情，一方有难，八方支援，包括十万解放军在内的全国抗震救灾力量迅速投入灾区展开救援。在鲜红的军旗下，在绿色迷彩服中间，活跃着这么一群人——他们内穿军装外披白大衣，手握手术刀或肩挎医疗箱，奔波于各大灾区诊所救死扶伤。这些军旗下的白衣天使大部分来自四个军医大学。让我们跟随他们的身影走进军医大，了解这些神秘的大学和专业吧！重庆——第三军医大学新闻链接自古巴蜀一家人。重庆作为四川灾区最大的抗震救援后方，始终和四川并肩作战！汶川地震发生3小时后，位于重庆的第三军医大学迅速派出第一支医疗分队支援灾区，是名副其实的救援先锋队。第三军医大学共派出7支医疗队共救治群众3000多人，安全转移1068名伤员到后方。此外，第三军医大学附属医院还接收了2000名来自灾区的伤员，为抗震救灾作出了重大贡献。特色专业烧伤医学是第三军医大学的王牌。烧伤医学是从普通外科中分离出来的新兴学科和交叉学科，涉及生化、病理、病理生理、微生物、免疫、解剖等多方面。烧伤医学在1981年就被批准为首批博士学位授权学科，1989年被批准为烧伤专业唯一的国家重点学科，2001年再次被批准为国家重点学科。第三军医大学先后成为全军第一个烧伤专科中心、全军第一个烧伤研究所、全军第一个烧伤研究重点实验室，在国际上享有崇高声望，许多教授担任过国际烧伤医学机构的重要职务。2006年，第三军医大学“创伤、烧伤与复合伤国家重点实验室”正式挂牌，成为军队中首个获正式批准建成的国家重点实验室，并组建了第三军医大学西南烧伤专科医院。报考第三军医大学临床医学专业，就有机会接受国际水平的烧伤医学教育。温馨提示2005年起，第三军医大学同第二、四军医大学一起，从参加普通高等学校招生统一考试的应届高中毕业生中招收无军籍学员。被录取的学员在校期间没有军籍，但享受军队提供的相关待遇，毕业考核合格后再办理入伍提干手续并分配到军队单位工作。数字校园建校年份：1954年(军队“2110工程”重点建设高校)占地面积：3000亩本科专业：14个(临床医学、预防医学、医学检验、医学影像、病理诊断、核医学、高原医学、生物医学工程、医学实验技术、护理、药学、营养与食品卫生、生物技术、计算机应用)附属医院：3个国家级重点学科：17个(主要集中在免疫学、内科学、外科学和军事预防医学领域)博士点：59个硕士点：71个录取分数线：2008年在重庆录取，男生录取分数线比重点线高出39分，女生高出85分。招办电话：(023)68753586更多高考信息请访问：新浪高考频道高考论坛高考博客圈高考贴吧特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。	刘超
大师傅大势分析：坚守低水勒沃不败阿森纳难出冷本期周六彩包含了四大联赛的赛事，主打还是英超和德甲。由于本周中和下周中有欧冠和联盟杯，所以周末联赛不可能不受到影响，但所受影响大小不一，未必对战局造成关键的影响。阿森纳难以出冷稳胆最看好的是阿森纳。阿森纳VS布莱克，不管阿森纳目前欧冠形势如何，都要提升联赛的名次，与维拉也仅3分的差距，阿森纳联赛不可能放弃。在上周末的足总杯赛中，阿森纳替补阵容轻取伯恩利，阿森纳完全控制战局，而且场上配合默契。小将沃尔科特缺阵四个月后复出，目前阿森纳伤病不多，完全能够应付双线作战，而且都可能排出很强的阵容应战。本场比赛的平均赔率为1.433.957.63，对比以往两队交锋的赔率，阿森纳主场胜赔相差只在0.05左右，考虑到阿森纳双赛，而且是欧冠16强淘汰赛的背景，开出此平均赔率并没有丝毫看低阿森纳的意思。而在历史对阵中，主胜相差不多的情况下，客胜赔和平局赔率都要比目前的低许多，可见平局和客胜其实已被博彩公司认为比以往更难于出现。主胜调低埃弗顿可看好埃弗顿出冷的几率要比阿森纳大得多，埃弗顿排名第六，比阿森纳少4分，比之后的西汉姆多6分，处于一个难上难下的位置，在这样的背景之下，埃弗顿本应该是不会被高看的一方，但实际上赔率所反映的并不是如此。本场比赛的平均赔率为1.493.737.05，而仅一天前才是1.503.686.88，主胜普遍调低，明由初盘的1.563.605.40调整为1.503.656.20，而Bet365虽然主胜不变，但客胜和平赔却均有调高，由初盘的1.503.607.00调整为1.504.007.50，很明显，还不到临场就已经发生不小的变化，这说明埃弗顿VS斯托克对于主队应该有重大利好，值得信任。博尔顿主场不胜博尔顿VS富勒姆，两队都是中游球队，都是无欲无求型，首先战意上就可疑，胜平负双方恐怕都不会过于在意。英超此类情况，赛果受市场影响的可能性更大。再来分析双方近况，博尔顿主场三连胜，其中包括排名高于富勒姆的西汉姆。富勒姆则是在杯赛和联赛中连续三场不胜，但客场也有逼平阿森纳这样让人不可小觑的战果。平均赔率开出2.123.203.31。亚盘目前在1.90平/半2.00左右，对应欧赔相符。在上面所述的背景之下，博尔顿主场当然会给人更有信心，市场反映上盘注码很大几率会超过下盘，主队博尔顿赢出很难。勒沃不败反弹赫塔VS勒沃，本场比赛是我极有把握的一场。先看双方背景，赫塔近期战绩较佳，近四场比赛除客场负于沃尔夫之外，其他三战全部胜出，其中包括击败拜仁。勒沃则是连续三场联赛不胜，上轮被波鸿客场逼平。由于勒沃并非没有机会拿到欧冠资格，所以远不到放弃的时候，这场比赛必然和赫塔死拼。平均赔率2.263.232.95，以双方的近况，主胜稍有偏高，在2.10-2.15范围内才相符。Bet365开出的赔率2.303.402.75，更是看低主队，而这并不是个别，超过半数的主流公司主胜都至少在2.30或以上。亚盘统一为2.08平/半1.82左右，客队低水已摆明了态度，从初盘开出至今水位几乎没有调整，预计到临场也不可能会有大变，客队一定是坚持低水，保持不败的可能性极高。上周再负的瓦伦西，本轮坐镇主场，主胜开出1.70的赔率，明显偏高，不能排除连续出冷的可能性，彩民做胆需谨慎。	
港交所回至170港元之下可留意Call29117新浪财经讯5月24日消息，欧债危机再现，加上沪综指昨日挫近3%，创四个月来最大单日跌幅，恒指受外围弱势影响，开市即裂口跌破10天线，其后节节向下，跌幅最多超过500点，往下回试22700点附近的承接，最终以大阴烛急挫2.1%，收报22711点。近日港股交投持续淡静，香港交易所(00388)股价由4月高位186.5元起逐步下滑，昨日回至170元关口之下，下望200天线约167元附近。如看好港交所，可留意Call29117，行使价180元，9月下旬到期；如预期港交所跌势未止，可留意Put29118，行使价168.88元，11月初到期。建设银行(00939)股价昨日失守近期低位7.1元，收市险守100天线约7元关口附近，阴烛下跌2.1%。如看好建行，可留意Call29151，行使价7.28元，8月上旬到期。工商银行(01398)股价昨日沽压较大，裂口跌穿上周低位6.25元，后市或有机会继续往下寻找支持。如看好工行，可留意Call29851，行使价6.8元，10月初到期。欢迎发表评论我要评论	
特价促销索尼46寸液晶TV直降500元[中关村在线电视频道原创]EX400系列液晶电视是索尼推出的定位中低端代表产品，在保证画质清晰的情况下，该系列液晶电视加入了丰富的娱乐功能，特别是USB功能的加入更是满足了用户对于照片以及图片等资源的浏览。目前索尼46EX500液晶电视直降500元，对于用户来说6499元的售价还是值得关注的。编辑点评：作为中低端的代表产品，索尼46EX400液晶电视虽然没有加入过多的显示技术，但是在画面表现力方面还是非常不错的，特别是USB流媒体播放功能的加入无疑为这款产品提升了吸引力，目前索尼46EX400液晶电视淡季降价促销，因此有兴趣的朋友不妨考虑一下。	
《肉中刺》重庆热拍斯琴高娃宋春丽破不和传闻本报讯(记者刘咏戈)近日，由俞钟执导，孙逊、斯琴高娃、宋春丽等人主演的谍战戏《肉中刺》在重庆拍摄。昨日，记者驱车来到剧组拍摄地渝北龙兴古镇，斯琴高娃正在拍摄来渝后的第一场戏，正是与宋春丽的对手戏。之前传闻两人在拍摄电视剧《娘》后闹翻，甚至一度拒绝同台演出。但昨日面对记者，两人不仅分吃零食还亲密地探讨剧本，大秀姐妹情。斯琴高娃打封闭拍戏斯琴高娃在剧中饰演国民党一位高官的母亲，身份尊崇，因有亲共行为而遭到保密局特务的暗杀。而宋春丽则饰演斯琴高娃的好姐妹，身份是地下党的副书记。记者在现场看到，两人的戏份是边包饺子边闲话家常，有亲戚带人来看家里的古董。但就这一场戏反复拍了一下午，刚刚赶到重庆的斯琴高娃明显很疲惫，在拍摄间歇还拿出一个药箱，倒出好几种药服用，斯琴高娃苦笑着告诉记者，她是打着封闭坚持演戏的：“我腿脚不好是老毛病了，这几天还感冒了，嗓子也不好。来的时候刚打的封闭，针头直接打进肘部骨头了，否则根本不能坚持。”一旁的宋春丽则关切地拿出一袋话梅，“吃吃这个吧，提神还润喉。”于是两人一边同吃话梅一边聊起了各自身体状况。不是姐妹胜似姐妹之前《娘》剧热播荧屏的时候，曾有媒体披露两大主演宋春丽跟斯琴高娃严重不和，甚至在参加某档节目录制时拒绝同台。宋春丽曾对此作出过澄清，但斯琴高娃从未对此做出回应。昨日再次同场飚戏，斯琴高娃坦言很过瘾：“我不想回应那些无聊的报道，越说越错，你们也看到了，我们没有什么飙不飙戏，一切都很自然。在戏外，我们无话不谈，都这把年纪了，我们都很珍惜彼此的感情。要说我们不和的，请他来现场看看。”言罢，斯琴高娃拿着剧本与宋春丽探讨起来，期间有说有笑。	刘咏戈,斯琴高娃,宋春丽,孙逊,俞钟
巴基斯坦军方称冲突地区恢复平静需一年新华网巴基斯坦拉瓦尔品第6月6日电（记者李敬臣饶博）巴基斯坦军方发言人阿巴斯少将6日说，预计全部清除西北部冲突地区的武装分子，并使当地恢复平静还需要一年左右的时间。阿巴斯是当天在巴三军公关部总部举行的新闻发布会上回答提问时作上述表示的。他说，巴安全部队从4月底在西北部地区开始军事行动以来已经累计打死1305名武装分子，安全部队方面也有105人死亡。过去24小时里，安全部队继续在西北边境省多个地区展开行动，在斯瓦特河谷地区打死17名武装分子，安全部队方面有1人身亡。阿巴斯说，安全部队将继续在冲突地区驻扎。他说，目前安全部队还没有决定是否要前往南瓦济里斯坦部落地区打击武装分子，这将取决于政府的决定。阿巴斯还说，被取缔的宗教组织“执行先知穆罕默德法典运动”头目苏菲·穆罕默德并没有被捕。该组织4日曾向媒体宣称苏菲·穆罕默德被捕。巴基斯坦西北边境省政府今年2月与“执行先知穆罕默德法典运动”达成协议，同意一旦塔利班武装盘踞的斯瓦特河谷地区恢复和平，将在包括斯瓦特河谷地区在内的马拉根德区实行伊斯兰教法。该协议4月13日得到国民议会（下院）一致通过。但这一地区的塔利班武装拒绝放下武器并占领一些政府机构，袭击安全部队检查站。巴安全部队随后分别对迪尔、布内尔和斯瓦特地区发起军事行动，全面打击塔利班武装。	苏菲·穆罕默德,阿巴斯,李敬臣,饶博,穆罕默德
中国足球彩票第09094期4场进球彩完全交战记录新浪体育讯　狼队VS朴茨茅斯队两队在英超联赛近16个赛季中交战过2场，狼队2平与对手平分秋色，未进球未失球；其中主场只在03-04赛季第4轮中与对手互交白卷。博尔顿队VS托特纳姆队两队在英超联赛近16个赛季中交战过20场，博尔顿队8胜5平7负稍占上风，进27球失27球；其中主场6胜3平1负占据绝对优势，进17球失9球。赫尔城队VS维冈队两队在英超联赛近16个赛季中交战过2场，赫尔城队2战全负处于下风，未进球失6球；其中主场只在上赛季第3轮中以0比5惨败给对手。曼联队VS桑德兰队两队在英超联赛近16个赛季中交战过16场，曼联队12胜3平1负完全占据优势，进37球失10球；其中主场7胜1平保持不败战绩占据绝对优势，进20球失2球。(永明)	永明
美联储维持0-0.25%基准利率区间不变新浪财经讯北京时间1月28日凌晨3点15分，美联储在结束为期两天的利率会议后宣布，维持0-0.25%的基准利率区间不变。此举符合市场的普遍预期。联邦公开市场委员会(FOMC)在会后发表的政策声明指出，预计将在较长时间内维持超低利率政策，将在三月底终止采购抵押贷款支持证券项目。此外，与上一份声明相比，联储对经济前景的判断略微乐观一些。联储还称，将在三月结束针对银行的信贷拍卖项目。一些分析师评论道，在为期两天的闭门会议中，联储官员在利率和经济前景方面上有许多问题要谈论，但他们在公开场合不会发表太多言论。联储前董事劳伦斯-迈耶(LaurenceMeyer)称：“从联储将采取何种行动的角度看，这可能是一次平淡无奇的会议，但从其他角度看它又特别令人感兴趣。”巴克莱资本的经济学家迪安-马基(DeanMaki)表示，联储主席伯南克第二任期提名引发的争议只会让联储变得更低调。本周四参院将就是否批准伯南克连任进行表决。市场分析师普遍预期奥巴马总统对伯南克再任联储主席的提名将获得通过。另一个令人感兴趣的问题是美国经济的前景。联储官员早已表示，他们并不认为失业率在短期内会有太大改善。多数经济学家认为，在劳动力市场出现明显的改善迹象之后联储才可能启动紧缩政策。因此，分析人士普遍预期FOMC在会后声明中将再度强调联邦基金利率有必要在相当长一段时间内维持在历史超低水平。多数联储观察家认为，今天联储将重申多数特别流动性工具将于2月1日终止，此外联储可能声明采购1.25万亿美元抵押贷款支持证券的计划将按原计划于3月底结束。联储观察家还表示，在声明无重大变化的表象之下可能掩藏着联储官员对退出策略的激烈争论。FOMC在12月上一次会议的声明中曾指出，将在“未来的会议上讨论在较长期内推行货币政策的替代性措施”。观察家认为，这无异于公开了一个秘密：现在联储官员还不清楚最优的退出方案是什么。	迪安-马基,伯南克,迪安,劳伦斯-迈耶,马基,迈耶,劳伦斯,奥巴马,DeanMaki,LaurenceMeyer
